"","X.MYCT.","X.MMIN.","X.MMAX.","X.CACH.","X.CHMIN.","X.CHMAX.","X.class."
"140",115,2000,4000,2,1,5,"Bajo"
"141",92,2000,8000,32,1,6,"Bajo"
"142",92,2000,8000,32,1,6,"Bajo"
"143",92,2000,8000,4,1,6,"Bajo"
"144",75,4000,16000,16,1,6,"Bajo"
"145",60,4000,16000,32,1,6,"Bajo"
"146",60,2000,16000,64,5,8,"Bajo"
"147",60,4000,16000,64,5,8,"Bajo"
"148",50,4000,16000,64,5,10,"Bajo"
"149",72,4000,16000,64,8,16,"Bajo"
"150",72,2000,8000,16,6,8,"Bajo"
"151",40,8000,16000,32,8,16,"Bajo"
"152",40,8000,32000,64,8,24,"Bajo"
"153",35,8000,32000,64,8,24,"Medio"
"154",38,16000,32000,128,16,32,"Medio"
"155",48,4000,24000,32,8,24,"Bajo"
"156",38,8000,32000,64,8,24,"Medio"
"157",30,16000,32000,256,16,24,"Medio"
"158",112,1000,1000,0,1,4,"Bajo"
"159",84,1000,2000,0,1,6,"Bajo"
"160",56,1000,4000,0,1,6,"Bajo"
"161",56,2000,6000,0,1,8,"Bajo"
"162",56,2000,8000,0,1,8,"Bajo"
"163",56,4000,8000,0,1,8,"Bajo"
"164",56,4000,12000,0,1,8,"Bajo"
"165",56,4000,16000,0,1,8,"Bajo"
"166",38,4000,8000,32,16,32,"Bajo"
"167",38,4000,8000,32,16,32,"Bajo"
"168",38,8000,16000,64,4,8,"Bajo"
"169",38,8000,24000,160,4,8,"Bajo"
"170",38,4000,16000,128,16,32,"Bajo"
"171",200,1000,2000,0,1,2,"Bajo"
"172",200,1000,4000,0,1,4,"Bajo"
"173",200,2000,8000,64,1,5,"Bajo"
"174",250,512,4000,0,1,7,"Bajo"
"175",250,512,4000,0,4,7,"Bajo"
"176",250,1000,16000,1,1,8,"Bajo"
"177",160,512,4000,2,1,5,"Bajo"
"178",160,512,2000,2,3,8,"Bajo"
"179",160,1000,4000,8,1,14,"Bajo"
"180",160,1000,8000,16,1,14,"Bajo"
"181",160,2000,8000,32,1,13,"Bajo"
"182",240,512,1000,8,1,3,"Bajo"
"183",240,512,2000,8,1,5,"Bajo"
"184",105,2000,4000,8,3,8,"Bajo"
"185",105,2000,6000,16,6,16,"Bajo"
"186",105,2000,8000,16,4,14,"Bajo"
"187",52,4000,16000,32,4,12,"Bajo"
"188",70,4000,12000,8,6,8,"Bajo"
"189",59,4000,12000,32,6,12,"Bajo"
"190",59,8000,16000,64,12,24,"Bajo"
"191",26,8000,24000,32,8,16,"Bajo"
"192",26,8000,32000,64,12,16,"Bajo"
"193",26,8000,32000,128,24,32,"Medio"
"194",116,2000,8000,32,5,28,"Bajo"
"195",50,2000,32000,24,6,26,"Bajo"
"196",50,2000,32000,48,26,52,"Bajo"
"197",50,2000,32000,112,52,104,"Medio"
"198",50,4000,32000,112,52,104,"Medio"
"199",30,8000,64000,96,12,176,"Muy alto"
"200",30,8000,64000,128,12,176,"Muy alto"
"201",180,262,4000,0,1,3,"Bajo"
"202",180,512,4000,0,1,3,"Bajo"
"203",180,262,4000,0,1,3,"Bajo"
"204",180,512,4000,0,1,3,"Bajo"
"205",124,1000,8000,0,1,8,"Bajo"
"206",98,1000,8000,32,2,8,"Bajo"
"207",125,2000,8000,0,2,14,"Bajo"
"208",480,512,8000,32,0,0,"Bajo"
"209",480,1000,4000,0,0,0,"Bajo"
