_id,Clase,Sexo,Edad,Precio,Survived
6556485875c55bb9905fc990,P,female,J,A,Si
6556485875c55bb9905fc991,P,female,A,A,Si
6556485875c55bb9905fc992,P,female,M,A,Si
6556485875c55bb9905fc993,P,female,J,A,Si
6556485875c55bb9905fc994,S,female,J,C,Si
6556485875c55bb9905fc995,S,female,A,C,Si
6556485875c55bb9905fc996,P,female,J,A,Si
6556485875c55bb9905fc997,S,female,A,C,No
6556485875c55bb9905fc998,P,female,M,A,Si
6556485875c55bb9905fc999,P,female,J,A,Si
6556485875c55bb9905fc99a,P,female,A,A,Si
6556485875c55bb9905fc99b,P,female,M,A,Si
6556485875c55bb9905fc99c,P,female,A,A,Si
6556485875c55bb9905fc99d,S,female,A,C,Si
6556485875c55bb9905fc99e,S,female,J,C,Si
6556485875c55bb9905fc99f,P,female,J,A,Si
6556485875c55bb9905fc9a0,S,female,A,C,Si
6556485875c55bb9905fc9a1,P,female,A,A,Si
6556485875c55bb9905fc9a2,S,female,A,B,Si
6556485875c55bb9905fc9a3,S,female,J,C,Si
6556485875c55bb9905fc9a4,S,female,A,B,Si
6556485875c55bb9905fc9a5,S,female,J,B,Si
6556485875c55bb9905fc9a6,S,female,M,B,Si
6556485875c55bb9905fc9a7,P,female,J,A,Si
6556485875c55bb9905fc9a8,S,female,J,B,Si
6556485875c55bb9905fc9a9,S,female,M,B,Si
6556485875c55bb9905fc9aa,S,female,A,C,Si
6556485875c55bb9905fc9ab,S,female,J,B,Si
6556485875c55bb9905fc9ac,P,female,A,A,Si
6556485875c55bb9905fc9ad,S,female,M,C,Si
6556485875c55bb9905fc9ae,S,female,A,B,Si
6556485875c55bb9905fc9af,S,female,J,C,Si
6556485875c55bb9905fc9b0,P,female,A,A,Si
6556485875c55bb9905fc9b1,P,female,M,A,Si
6556485875c55bb9905fc9b2,P,female,J,A,No
6556485875c55bb9905fc9b3,P,female,J,A,Si
6556485875c55bb9905fc9b4,S,female,A,B,Si
6556485875c55bb9905fc9b5,P,female,M,A,Si
6556485875c55bb9905fc9b6,S,female,A,C,Si
6556485875c55bb9905fc9b7,S,female,A,B,Si
6556485875c55bb9905fc9b8,P,female,A,A,Si
6556485875c55bb9905fc9b9,P,female,M,A,Si
6556485875c55bb9905fc9ba,S,female,M,C,Si
6556485875c55bb9905fc9bb,S,female,N,B,Si
6556485875c55bb9905fc9bc,S,female,N,B,Si
6556485875c55bb9905fc9bd,P,female,A,A,Si
6556485875c55bb9905fc9be,P,female,J,A,Si
6556485875c55bb9905fc9bf,P,female,A,A,Si
6556485875c55bb9905fc9c0,S,female,J,B,Si
6556485875c55bb9905fc9c1,P,female,M,B,Si
6556485875c55bb9905fc9c2,P,female,A,A,Si
6556485875c55bb9905fc9c3,P,female,M,A,Si
6556485875c55bb9905fc9c4,S,female,A,C,Si
6556485875c55bb9905fc9c5,P,female,A,A,Si
6556485875c55bb9905fc9c6,S,female,J,B,Si
6556485875c55bb9905fc9c7,P,female,A,A,Si
6556485875c55bb9905fc9c8,P,female,J,A,Si
6556485875c55bb9905fc9c9,P,female,M,A,Si
6556485875c55bb9905fc9ca,S,female,A,B,Si
6556485875c55bb9905fc9cb,S,female,J,B,Si
6556485875c55bb9905fc9cc,S,female,J,A,Si
6556485875c55bb9905fc9cd,P,female,A,A,Si
6556485875c55bb9905fc9ce,S,female,J,A,Si
6556485875c55bb9905fc9cf,S,female,N,B,Si
6556485875c55bb9905fc9d0,P,female,J,A,Si
6556485875c55bb9905fc9d1,S,female,A,C,Si
6556485875c55bb9905fc9d2,P,female,J,A,Si
6556485875c55bb9905fc9d3,S,female,J,B,Si
6556485875c55bb9905fc9d4,P,female,A,A,Si
6556485875c55bb9905fc9d5,S,female,A,B,Si
6556485875c55bb9905fc9d6,P,female,J,A,Si
6556485875c55bb9905fc9d7,P,female,J,A,Si
6556485875c55bb9905fc9d8,S,female,M,C,Si
6556485875c55bb9905fc9d9,P,female,J,A,Si
6556485875c55bb9905fc9da,P,female,J,A,Si
6556485875c55bb9905fc9db,P,female,A,A,Si
6556485875c55bb9905fc9dc,S,female,A,C,Si
6556485875c55bb9905fc9dd,S,female,N,B,Si
6556485875c55bb9905fc9de,S,female,A,B,Si
6556485875c55bb9905fc9df,P,female,A,A,Si
6556485875c55bb9905fc9e0,P,female,J,A,Si
6556485875c55bb9905fc9e1,S,female,A,C,Si
6556485875c55bb9905fc9e2,S,female,N,B,Si
6556485875c55bb9905fc9e3,S,female,M,A,Si
6556485875c55bb9905fc9e4,P,female,A,A,Si
6556485875c55bb9905fc9e5,P,female,A,A,Si
6556485875c55bb9905fc9e6,P,female,M,A,Si
6556485875c55bb9905fc9e7,S,female,M,C,No
6556485875c55bb9905fc9e8,S,female,M,B,Si
6556485875c55bb9905fc9e9,P,female,M,A,Si
6556485875c55bb9905fc9ea,P,female,J,A,Si
6556485875c55bb9905fc9eb,P,female,M,B,Si
6556485875c55bb9905fc9ec,S,female,A,B,Si
6556485875c55bb9905fc9ed,P,female,A,A,Si
6556485875c55bb9905fc9ee,P,female,M,A,Si
6556485875c55bb9905fc9ef,P,female,M,A,Si
6556485875c55bb9905fc9f0,P,female,A,A,Si
6556485875c55bb9905fc9f1,P,female,A,B,Si
6556485875c55bb9905fc9f2,P,female,A,A,Si
6556485875c55bb9905fc9f3,P,female,J,B,Si
6556485875c55bb9905fc9f4,S,female,M,B,No
6556485875c55bb9905fc9f5,P,female,M,A,Si
6556485875c55bb9905fc9f6,P,female,M,B,Si
6556485875c55bb9905fc9f7,S,female,M,C,Si
6556485875c55bb9905fc9f8,S,female,A,C,Si
6556485875c55bb9905fc9f9,P,female,M,A,Si
6556485875c55bb9905fc9fa,S,female,A,B,Si
6556485875c55bb9905fc9fb,P,female,M,A,Si
6556485875c55bb9905fc9fc,S,female,J,B,Si
6556485875c55bb9905fc9fd,P,female,J,B,Si
6556485875c55bb9905fc9fe,T,male,J,C,No
6556485875c55bb9905fc9ff,T,male,J,C,No
6556485875c55bb9905fca00,P,male,J,A,No
6556485875c55bb9905fca01,T,male,J,C,No
6556485875c55bb9905fca02,T,male,J,C,No
6556485875c55bb9905fca03,T,male,J,C,No
6556485875c55bb9905fca04,T,male,J,C,No
6556485875c55bb9905fca05,S,male,J,A,No
6556485875c55bb9905fca06,T,male,J,C,No
6556485875c55bb9905fca07,T,male,J,C,No
6556485875c55bb9905fca08,T,male,J,B,No
6556485875c55bb9905fca09,T,male,J,C,No
6556485875c55bb9905fca0a,T,male,J,C,No
6556485875c55bb9905fca0b,P,male,J,A,Si
6556485875c55bb9905fca0c,P,male,J,A,No
6556485875c55bb9905fca0d,T,male,J,C,No
6556485875c55bb9905fca0e,T,male,J,C,No
6556485875c55bb9905fca0f,P,male,J,A,No
6556485875c55bb9905fca10,S,male,J,A,No
6556485875c55bb9905fca11,T,male,J,C,Si
6556485875c55bb9905fca12,T,male,J,C,No
6556485875c55bb9905fca13,S,male,J,C,No
6556485875c55bb9905fca14,S,male,J,B,No
6556485875c55bb9905fca15,T,male,J,C,No
6556485875c55bb9905fca16,P,male,J,A,No
6556485875c55bb9905fca17,T,male,J,C,No
6556485875c55bb9905fca18,S,male,J,C,No
6556485875c55bb9905fca19,S,male,J,B,No
6556485875c55bb9905fca1a,T,male,J,C,No
6556485875c55bb9905fca1b,T,male,J,C,No
6556485875c55bb9905fca1c,T,male,J,C,No
6556485875c55bb9905fca1d,S,male,J,C,No
6556485875c55bb9905fca1e,T,male,J,C,Si
6556485875c55bb9905fca1f,T,male,J,C,No
6556485875c55bb9905fca20,T,male,J,C,No
6556485875c55bb9905fca21,T,male,J,C,Si
6556485875c55bb9905fca22,T,male,J,C,No
6556485875c55bb9905fca23,S,male,J,C,Si
6556485875c55bb9905fca24,T,male,J,C,No
6556485875c55bb9905fca25,S,male,J,C,No
6556485875c55bb9905fca26,S,male,J,C,No
6556485875c55bb9905fca27,S,male,J,C,No
6556485875c55bb9905fca28,T,male,J,C,No
6556485875c55bb9905fca29,T,male,J,B,No
6556485875c55bb9905fca2a,T,male,J,C,Si
6556485875c55bb9905fca2b,T,male,J,C,Si
6556485875c55bb9905fca2c,T,male,J,C,No
6556485875c55bb9905fca2d,T,male,J,C,Si
6556485875c55bb9905fca2e,T,male,J,C,No
6556485875c55bb9905fca2f,T,male,J,C,No
6556485875c55bb9905fca30,T,male,J,C,No
6556485875c55bb9905fca31,T,male,J,C,No
6556485875c55bb9905fca32,T,male,J,C,No
6556485875c55bb9905fca33,T,male,J,B,No
6556485875c55bb9905fca34,S,male,J,C,No
6556485875c55bb9905fca35,T,male,J,C,No
6556485875c55bb9905fca36,T,male,J,C,No
6556485875c55bb9905fca37,T,male,J,B,No
6556485875c55bb9905fca38,P,male,J,A,Si
6556485875c55bb9905fca39,T,male,J,C,No
6556485875c55bb9905fca3a,T,male,J,C,No
6556485875c55bb9905fca3b,P,male,J,A,No
6556485875c55bb9905fca3c,T,male,J,C,No
6556485875c55bb9905fca3d,T,male,J,C,No
6556485875c55bb9905fca3e,S,male,J,A,No
6556485875c55bb9905fca3f,T,male,J,C,Si
6556485875c55bb9905fca40,T,male,J,C,No
6556485875c55bb9905fca41,S,male,J,C,No
6556485875c55bb9905fca42,T,male,J,C,No
6556485875c55bb9905fca43,T,male,J,C,No
6556485875c55bb9905fca44,T,male,J,B,No
6556485875c55bb9905fca45,T,male,J,C,No
6556485875c55bb9905fca46,T,male,J,C,No
6556485875c55bb9905fca47,T,male,J,C,No
6556485875c55bb9905fca48,T,male,J,C,No
6556485875c55bb9905fca49,P,male,J,A,Si
6556485875c55bb9905fca4a,T,male,J,C,No
6556485875c55bb9905fca4b,T,male,J,C,No
6556485875c55bb9905fca4c,T,male,J,C,No
6556485875c55bb9905fca4d,T,male,J,C,No
6556485875c55bb9905fca4e,P,male,J,A,No
6556485875c55bb9905fca4f,T,male,J,C,No
6556485875c55bb9905fca50,T,male,J,C,No
6556485875c55bb9905fca51,S,male,J,C,No
6556485875c55bb9905fca52,T,male,J,C,No
6556485875c55bb9905fca53,P,male,J,A,Si
6556485875c55bb9905fca54,T,male,J,C,Si
6556485875c55bb9905fca55,T,male,J,B,No
6556485875c55bb9905fca56,T,male,J,C,No
6556485875c55bb9905fca57,T,male,J,C,No
6556485875c55bb9905fca58,T,male,J,C,No
6556485875c55bb9905fca59,T,male,J,C,No
6556485875c55bb9905fca5a,T,male,J,B,Si
6556485875c55bb9905fca5b,T,male,J,C,No
6556485875c55bb9905fca5c,T,male,J,B,No
6556485875c55bb9905fca5d,T,male,J,C,No
6556485875c55bb9905fca5e,T,male,J,C,No
6556485875c55bb9905fca5f,T,male,J,C,No
6556485875c55bb9905fca60,S,male,J,A,No
6556485875c55bb9905fca61,S,male,J,C,No
6556485875c55bb9905fca62,T,male,J,C,Si
6556485875c55bb9905fca63,S,male,J,C,No
6556485875c55bb9905fca64,T,male,J,C,No
6556485875c55bb9905fca65,T,male,J,C,No
6556485875c55bb9905fca66,T,male,J,C,No
6556485875c55bb9905fca67,T,male,J,A,No
6556485875c55bb9905fca68,S,male,J,A,No
6556485875c55bb9905fca69,T,male,J,B,No
6556485875c55bb9905fca6a,T,male,J,C,No
6556485875c55bb9905fca6b,T,male,J,C,No
6556485875c55bb9905fca6c,T,male,J,C,No
6556485875c55bb9905fca6d,T,male,J,C,No
6556485875c55bb9905fca6e,T,male,J,C,No
6556485875c55bb9905fca6f,T,male,J,C,No
6556485875c55bb9905fca70,T,male,J,C,No
6556485875c55bb9905fca71,S,male,J,B,No
6556485875c55bb9905fca72,S,male,J,C,No
6556485875c55bb9905fca73,S,male,J,C,No
6556485875c55bb9905fca74,T,male,J,B,No
6556485875c55bb9905fca75,T,male,J,B,No
6556485875c55bb9905fca76,P,male,J,A,No
6556485875c55bb9905fca77,T,male,J,C,No
6556485875c55bb9905fca78,S,male,J,C,No
6556485875c55bb9905fca79,T,male,J,C,Si
6556485875c55bb9905fca7a,T,male,J,C,No
6556485875c55bb9905fca7b,T,male,J,C,No
6556485875c55bb9905fca7c,T,male,J,C,No
6556485875c55bb9905fca7d,T,male,J,C,No
6556485875c55bb9905fca7e,T,male,J,C,No
6556485875c55bb9905fca7f,S,male,J,B,No
6556485875c55bb9905fca80,T,male,J,C,No
6556485875c55bb9905fca81,T,male,J,C,No
6556485875c55bb9905fca82,T,male,J,C,No
6556485875c55bb9905fca83,T,male,J,C,No
6556485875c55bb9905fca84,T,male,J,C,No
6556485875c55bb9905fca85,S,male,J,C,No
6556485875c55bb9905fca86,T,male,J,C,No
6556485875c55bb9905fca87,S,male,J,C,No
6556485875c55bb9905fca88,S,male,J,C,No
6556485875c55bb9905fca89,T,male,J,C,No
6556485875c55bb9905fca8a,T,male,J,C,No
6556485875c55bb9905fca8b,T,male,J,C,No
6556485875c55bb9905fca8c,S,male,N,B,Si
6556485875c55bb9905fca8d,S,male,N,B,Si
6556485875c55bb9905fca8e,S,male,N,B,Si
6556485875c55bb9905fca8f,P,male,N,A,Si
6556485875c55bb9905fca90,S,male,N,B,Si
6556485875c55bb9905fca91,S,male,N,B,Si
6556485875c55bb9905fca92,P,male,N,A,Si
6556485875c55bb9905fca93,S,male,N,B,Si
6556485875c55bb9905fca94,S,male,N,C,Si
6556485875c55bb9905fca95,P,male,N,A,Si
6556485875c55bb9905fca96,S,male,N,B,Si
6556485875c55bb9905fca97,S,male,N,B,Si
